id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,reviews total,pre 2014 reviews,post 2014 reviews
19908226,Quiet & relaxing cozy apartment in South Austin,20522731,Norense,,78745,30.211470000000002,-97.81388000000001,Entire home/apt,54,2,14,2019-03-12,0.59,4,12,2,0,14
19908721,A cozy home in central Austin,961802,Zac,,78731,30.31212,-97.75113,Private room,62,2,1,2018-01-08,0.05,1,0,37,0,1
19923140,Quiet South Austin home with pool and hot tub,5006807,Jp,,78748,30.18388,-97.81661,Private room,45,1,36,2019-04-21,1.68,1,0,31,0,36
19923770,"Perfect for SXSW ! 
The Saint Michael Studio",95139463,Felicity,,78705,30.285040000000002,-97.74736999999999,Entire home/apt,75,2,72,2019-07-07,3.03,8,213,1,0,72
19941886,Luxurious Private Austin Home w/ Pool - Sleeps 10,56243687,Claire & Parker,,78759,30.363090000000003,-97.74651999999999,Entire home/apt,650,2,6,2018-06-24,0.25,1,359,6,0,6
19948877,Cozy Room #4 {NW Hwy 183},96577325,Caleb,,78729,30.46084,-97.78584000000001,Private room,25,1,78,2019-07-09,3.25,5,348,12,0,78
19949352,S Lamar Condo Zilker | Barton Springs | Downtown,7824696,Gigi,,78704,30.251820000000002,-97.76609,Entire home/apt,275,2,12,2019-07-01,0.56,1,57,3,0,12
19949360,"Simple, Clean and Comfortable _ SoCo/ St. Ed's U.",2701894,Romy,,78704,30.240920000000003,-97.75294,Private room,65,2,11,2019-06-04,0.52,3,325,3,0,11
19950968,Entire Three BR Texas-Modern House in 78704,9331076,Leland,,78704,30.22819,-97.77376,Entire home/apt,150,2,1,2017-07-30,0.04,3,0,12,0,1
19952257,Luxurious Bed & Breakfast Nature Retreat in City,83401884,Amanda,,78753,30.385440000000003,-97.66688,Private room,100,2,37,2019-06-10,1.71,1,178,3,0,37
19952574,Private Room with Full Bathroom in Austin,72205063,David,,78753,30.389809999999997,-97.65816,Private room,50,2,16,2019-03-16,0.67,3,0,1,0,16
19958238,Austin Retreat Teal Room,21944527,Cheri,,78729,30.443579999999997,-97.76901,Private room,55,1,1,2018-03-16,0.06,1,88,3,0,1
19962072,Picturesque Point,118565935,Renters Club,,78730,30.36024,-97.84857,Entire home/apt,4000,2,25,2019-05-19,1.09,79,313,70,0,25
19966750,New Cozy Central Austin Home,107365349,Peter,,78753,30.34474,-97.69185,Private room,50,1,4,2019-04-15,0.17,1,365,99,0,4
19967245,Casita de Moontower!,33604724,Michelle,,78702,30.27001,-97.72891,Entire home/apt,257,2,18,2018-07-26,0.84,1,0,17,0,18
19967544,Rainey River Retreat,118565935,Renters Club,,78702,30.25566,-97.7338,Entire home/apt,164,2,38,2019-07-07,1.72,79,121,1,0,38
19968557,Crestview Fandom BnB,51652293,Gin Eva,,78757,30.339959999999998,-97.72261999999999,Entire home/apt,68,1,161,2019-07-02,8.63,1,142,4,0,161
19968975,"The Ethel, Relax Minutes Away from Downtown Austin",138398089,GuestSpaces,,78704,30.25862,-97.76469,Entire home/apt,300,2,20,2019-07-07,1.04,33,208,68,0,20
19982210,Apartment on the hill,24856295,Kat,,78731,30.32607,-97.75776,Entire home/apt,95,2,134,2019-07-07,5.63,1,139,181,0,134
19983675,"Updated 2/1.5 w/ king, 2 twin - 2mi to DT. Pets ok",579290,Jay,,78704,30.24397,-97.77378,Entire home/apt,150,3,13,2019-06-23,0.61,22,324,6,0,13
19985475,Cozy Value Space w/ Pool - 2 Bath - 7 Min to DT,408793,Jason,,78741,30.235770000000002,-97.73487,Entire home/apt,75,1,169,2019-07-08,7.1,6,108,8,0,169
19985605,Private Master bed/bath in S.E. Austin {MLK/FM969},122601175,Alan,,78725,30.264229999999998,-97.62814,Private room,30,1,31,2019-06-26,1.85,3,2,47,0,31
19993997,Classic Austin House Minutes to Downtown,6302462,Matthew,,78722,30.28091,-97.7212,Entire home/apt,95,1,109,2019-07-10,4.66,2,134,3,0,109
19994783,Johnson Creek Cabin,139756350,Doug,,78703,30.27792,-97.7717,Entire home/apt,300,2,60,2019-07-07,2.8,2,300,123,0,60
20002168,Evans: Shared Room in Great Community,8167447,Martin,,78751,30.315579999999997,-97.71735,Shared room,23,29,2,2018-09-21,0.15,72,341,2,0,2
20010784,Spacious House - Four Beds + Two Full Bathrooms,72205063,David,,78753,30.39025,-97.65868,Entire home/apt,120,2,8,2018-05-28,0.37,3,0,42,0,8
20014046,Relaxing Mueller Retreat - 3 miles to Downtown!,11165366,Rob,,78723,30.294079999999997,-97.6968,Entire home/apt,100,2,11,2019-07-07,0.51,1,13,23,0,11
20016920,Private SoCo Retreat w/ Pool,52972375,Reid,,78704,30.242859999999997,-97.75247,Entire home/apt,96,30,53,2019-02-18,2.25,4,359,50,0,53
20017883,Modern Clean East Austin 2 Bedroom/2.5 Bath Home,579365,Aziz,,78721,30.279490000000003,-97.67687,Entire home/apt,149,2,85,2019-04-01,3.58,1,0,6,0,85
20027618,N.Lamar: 2 People Shared Room,8167447,Martin,,78751,30.32031,-97.72955999999999,Shared room,23,29,5,2018-11-30,0.22,72,345,14,0,5
20027827,Modern Luxury House in East Downtown,30225950,Eastside Villas,,78702,30.271690000000003,-97.72842,Entire home/apt,699,3,88,2019-06-30,3.97,3,292,45,0,88
