,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,pre 2014 reviews,post 2014 reviews,percent change
635,1704436,Travis Heights Gem,8428581,Brunson,,78704,30.24829,-97.74656,Entire home/apt,175,2,107,7/6/2019,1.55,1,314,14,93,5.642857143
636,1704832,sweet light & art-filled bungalow!,175669,Rachel,,78704,30.24425,-97.77762,Entire home/apt,250,2,15,4/14/2019,0.23,2,361,6,9,0.5
639,1717090,DOWNTOWN  • FABULOUS THREE STORY TOWNHOUSE,9053200,Linda,,78703,30.27691,-97.75292,Entire home/apt,195,3,33,4/20/2019,0.48,1,361,11,22,1
640,1720604,Home Close to Downtown ATX with a Pool!,9035884,Elissa,,78746,30.26871,-97.80186,Entire home/apt,499,2,35,7/7/2019,0.54,1,309,4,31,6.75
641,1724144,Hyde Park Hideaway,9087949,Greg,,78751,30.30281,-97.72988,Entire home/apt,114,2,58,5/25/2019,0.92,1,267,3,55,17.33333333
642,1724256,Bright cottage with great location!,9088497,James,,78704,30.2599,-97.75455,Entire home/apt,400,2,12,3/13/2019,0.18,1,348,6,6,0
643,1725964,Charming 3 Bedroom House Downtown,4435121,Forrest,,78702,30.25104,-97.72704,Entire home/apt,300,7,35,2/16/2016,0.55,1,0,9,26,1.888888889
644,1727257,Eastside Zenpalace Guest Suite,4912454,Ishrat,,78702,30.26565,-97.71691,Private room,95,7,48,5/28/2018,0.69,2,101,26,22,-0.153846154
645,1731755,"Sunny, quiet eco-friendly bungalow",9123693,Joy,,78745,30.22035,-97.78377,Private room,100,3,10,10/30/2015,0.18,2,0,1,9,8
646,1732956,Private cottage near SXSW events,5110394,Erik & Kara,,78722,30.2894,-97.7228,Entire home/apt,375,2,39,6/5/2016,0.56,1,358,17,22,0.294117647
647,1733137,"Quaint, Sunny Austin Studio rental",9131066,Laura,,78704,30.25983,-97.76423,Entire home/apt,125,2,138,5/14/2019,1.97,2,156,18,120,5.666666667
648,1735020,1 private BR near Mueller Park / DT,1807862,Rachael,,78722,30.30159,-97.71253,Private room,55,1,129,6/3/2019,1.84,2,0,22,107,3.863636364
649,1735938,South Austin 1952 Home,9142238,Patryce,,78745,30.22068,-97.78164,Entire home/apt,389,2,45,4/14/2019,0.78,1,365,4,41,9.25
650,1736648,The Mandarin Suite on 4th Street,4929310,Ryan,,78701,30.26634,-97.7414,Entire home/apt,349,1,156,6/17/2019,2.24,25,306,28,128,3.571428571
651,1737139,2-Room Suite Near Barton Springs & ACL Fest,1628864,Michael & Luz,,78704,30.2586,-97.77378,Entire home/apt,75,1,170,7/1/2019,2.42,1,133,38,132,2.473684211
653,1741604,Cielo Room: 2nd story apt. just east of downtown,9168485,Ginger,,78702,30.25749,-97.7277,Entire home/apt,75,2,477,6/26/2019,6.85,1,288,54,423,6.833333333
654,1743161,♥of Downtown w/free parking! Sleeps 8 in 7 beds!♥♥,974631,Austin,,78701,30.26645,-97.74209,Entire home/apt,499,1,118,6/23/2019,1.77,11,78,5,113,21.6
655,1743366,♥ of Downtown w/free parking! Sleeps 4!♥♥,974631,Austin,,78701,30.26607,-97.7425,Entire home/apt,299,1,107,6/9/2019,1.53,11,50,18,89,3.944444444
656,1746410,ECLECTIC NEW ORLEANS SHOTGUN HOUSE ALL BILLS PAID!,2200456,Tressa,,78741,30.2285,-97.69743,Entire home/apt,135,3,12,8/19/2018,0.18,7,284,2,10,4
658,1751718,Zilker Bungalow next to Downtown!,9214695,Kirk,,78704,30.25472,-97.77501,Entire home/apt,119,2,55,6/14/2019,0.97,1,179,1,54,53
659,1755240,The Downtown Austin Luxury Standard,4929310,Ryan,,78701,30.26649,-97.74203,Entire home/apt,495,1,133,6/21/2019,1.92,25,272,34,99,1.911764706
660,1757346,Relaxing retreat in Hill Country,9240919,John And Vivien,,78736,30.26291,-97.93828,Private room,59,2,70,6/9/2019,1.08,2,322,12,58,3.833333333
662,1776078,Gated Condo with Pool Right in Heart of Downtown Austin,1710742,Jaclyn,,78701,30.26613,-97.74099,Entire home/apt,145,3,195,6/27/2019,3,2,260,3,192,63
663,1777600,North Austin Home near CP & RR,487072,Greg & Amanda,,78750,30.45876,-97.82094,Entire home/apt,159,30,83,6/17/2019,1.33,10,244,9,74,7.222222222
665,1793471,Modern home near downtown / SXSW,7637276,Steven,,78704,30.25258,-97.76034,Entire home/apt,492,2,71,6/30/2019,1.04,2,347,12,59,3.916666667
666,1795965,"Art Oasis in East Austin, Minutes to Downtown & UT",9419950,Wade,,78702,30.27665,-97.71594,Entire home/apt,155,2,81,7/7/2019,1.23,1,354,14,67,3.785714286
667,1802053,Artist's family house,8634478,Jennifer,,78702,30.2601,-97.73156,Entire home/apt,350,2,24,8/6/2018,0.37,1,0,4,20,4
668,1803353,Re-Imagined Historical Home with Backyard,9454445,Jordana,,78701,30.27491,-97.74899,Entire home/apt,712,3,10,5/4/2018,0.15,1,362,2,8,3
669,1805494,Modern Garage Apt - Walk to ACL!!!,9463145,Joi,,78704,30.25653,-97.76586,Entire home/apt,150,2,36,6/10/2019,0.56,2,169,5,31,5.2
670,1814899,Spacious 2 Story Downtown Condo,9506147,Justin,,78701,30.27499,-97.75127,Entire home/apt,650,3,7,3/15/2016,0.11,1,0,4,3,-0.25
671,1822588,Walk Everywhere in Hip E. Side + DT! Fast WIFI.,1827958,Bryce And Rachael,,78702,30.2589,-97.72661,Entire home/apt,235,2,226,6/23/2019,3.48,3,137,20,206,9.3
672,1825193,Cute & Fun Place to Stay (entire home an option)!,1714345,Ginger,,78745,30.20798,-97.79297,Private room,60,1,8,6/29/2019,0.12,1,365,3,5,0.666666667
673,1828073,Lovely mid-century Austin home,574394,Theresa,,78723,30.31114,-97.70027,Entire home/apt,167,2,20,10/21/2018,0.29,2,0,6,14,1.333333333
674,1830545,2 Bedroom Modern Remodel #1,487072,Greg & Amanda,,78757,30.36191,-97.72593,Entire home/apt,99,60,20,3/31/2019,0.3,10,53,2,18,8
678,1843753,House Close to Everything! Great for SXSW and ACL!,5502116,Trey,,78704,30.22605,-97.76678,Entire home/apt,99,3,9,10/16/2017,0.16,1,0,1,8,7
679,1846411,Bat City House Downtown Austin,9645523,Chuck,,78703,30.27434,-97.75441,Entire home/apt,370,3,6,1/20/2016,0.1,1,311,3,3,0
680,1850914,"Charming 2 Rm Suite in Barton Hills, South Lamar",9666649,Robert And Inge,,78704,30.24654,-97.78645,Private room,125,2,6,5/19/2018,0.09,1,355,2,4,1
682,1860352,Cozy Tarrytown House - Near Lake Austin/Downtown,9704934,Shawna,,78703,30.29426,-97.76297,Entire home/apt,199,1,73,7/7/2019,1.12,1,330,9,64,6.111111111
683,1864528,Tarrytown House-closest to downtown,3605574,Rachel,,78703,30.29442,-97.76805,Entire home/apt,400,3,2,3/19/2015,0.03,1,365,1,1,0
684,1872960,Memory foam bed -  Keyless Entry,4308304,Steven,,78723,30.30233,-97.68085,Entire home/apt,49,2,133,10/15/2017,2.04,1,0,22,111,4.045454545
685,1875121,Historic Bungalow-Style Cottage Near Downtown,3715137,Melissa,,78702,30.26832,-97.73151,Entire home/apt,119,2,312,7/2/2019,4.51,1,24,57,255,3.473684211
686,1880094,Eastside Guest Studio near Lake,61292,Jeany And Mose,,78702,30.25243,-97.7213,Entire home/apt,80,1,550,7/4/2019,8,1,107,97,453,3.670103093
687,1881597,SOCO South Congress ATX Your Modern Little House!!,2927288,Tracy,,78704,30.24274,-97.75059,Entire home/apt,133,1,304,7/9/2019,4.48,2,318,30,274,8.133333333
690,1901790,Treehouse Apt.Cute Converted Attic - Monthly-Cute!,4753546,Paprika,,78702,30.25364,-97.72164,Entire home/apt,59,30,13,4/30/2017,0.23,3,0,4,9,1.25
691,1906190,Entire Apartment in Central Austin,3730648,Benjamin,,78731,30.31269,-97.75035,Entire home/apt,115,1,456,7/5/2019,6.76,2,295,39,417,9.692307692
694,1913498,Walk Downtown - Swede Hill Chalet,247600,Danielle,,78702,30.2741,-97.72681,Private room,250,4,21,12/5/2018,0.31,2,273,18,3,-0.833333333
695,1914023,ROOM FOR RENT Queen,9927636,Anna,,78758,30.38325,-97.69929,Private room,95,30,2,3/17/2016,0.03,2,292,1,1,0
696,1920342,Spacious Home Base; Walk Downtown,88309,Shannon & Jeremy,,78704,30.25663,-97.75451,Entire home/apt,140,31,25,3/22/2019,0.39,3,314,7,18,1.571428571
697,1927188,Georgeous 2BR home in East Austin,9983041,Fiore,,78721,30.26881,-97.68667,Entire home/apt,200,2,2,10/12/2015,0.03,3,364,1,1,0
698,1929377,Modern Upstairs Retreat #1 with Private Bathroom,1421618,Diana,,78729,30.46325,-97.78584,Private room,67,2,54,10/8/2018,0.93,4,0,11,43,2.909090909
699,1934911,Frank and Katie's Back House,5279293,Frank And Katie,,78702,30.27741,-97.70827,Entire home/apt,73,2,88,7/7/2019,1.28,2,26,5,83,15.6
700,1935282,"Modern, Lofted Cottage House with Custom Woodwork",4018268,Bradley,,78702,30.28065,-97.71072,Entire home/apt,103,1,344,6/28/2019,5.11,2,330,31,313,9.096774194
702,1952273,Beautiful Cottage near Lake Travis,5428198,Alan,,78734,30.42058,-97.92184,Entire home/apt,195,7,58,4/1/2019,0.85,1,222,11,47,3.272727273
703,1953384,><> Suburban Texas Mountain Villa | Large Property,10098752,Todd & Laura,,78738,30.33013,-97.98038,Entire home/apt,189,2,9,10/21/2018,0.16,1,263,1,8,7
704,1954417,Lovely mid-century Austin for 1-2pp,574394,Theresa,,78723,30.31268,-97.70089,Private room,65,2,147,7/6/2019,2.17,2,17,37,110,1.972972973
705,1965959,Nautical retreat Zilker Park/DT,1726059,Austin,,78704,30.25411,-97.77655,Entire home/apt,175,3,50,3/30/2019,0.78,5,68,1,49,48
706,1967182,Spacious Home with Pool in Southwest Austin,10160952,Amy,,78735,30.25238,-97.83117,Entire home/apt,500,7,11,5/28/2019,0.17,1,358,2,9,3.5
707,1979797,"ACL, F1,SXSW Tarrytown 4bed/3.5bath",10217229,Abraham,,78703,30.29011,-97.7695,Entire home/apt,1250,3,4,3/13/2017,0.06,1,0,1,3,2
708,1997625,Quiet Studio in North University,10293287,Ann,,78705,30.2983,-97.7318,Entire home/apt,129,1,52,6/23/2019,0.9,8,315,5,47,8.4
709,2006522,"Cozy Studio near Barton Springs, DT",10293287,Ann,,78704,30.24984,-97.77915,Entire home/apt,109,1,55,6/2/2019,0.87,8,327,4,51,11.75
710,2010358,Tiny House Downtown - Cozy and Fun!,2145939,Brad,,78703,30.27684,-97.76042,Entire home/apt,69,2,297,6/16/2019,4.46,3,207,43,254,4.906976744
711,2021663,Chic Downtown Room w/Private Bath!,10351015,Chris & Loni,,78701,30.2634,-97.73748,Private room,78,1,389,7/6/2019,5.73,4,295,58,331,4.706896552
712,2028500,Cozy Value Space w/ Pool - 2 Bath - Minutes to DT,408793,Jason,,78741,30.23345,-97.73605,Entire home/apt,80,1,331,7/3/2019,5,6,96,52,279,4.365384615
713,2030700,Cute Room in South Austin Bungalow!,1822593,Alexa,,78704,30.23103,-97.78261,Private room,190,3,37,3/10/2019,0.54,2,90,15,22,0.466666667
714,2036294,Updated Original Brentwood Home,10381875,Patricia,,78756,30.32289,-97.7307,Entire home/apt,175,6,9,5/16/2018,0.14,1,102,3,6,1
717,2038595,Perfect SXSW Condo 2miles to Conv Center Dwtn!,3702973,B,,78701,30.27913,-97.73665,Entire home/apt,899,1,23,5/5/2019,0.36,3,356,5,18,2.6
718,2041847,Downtown Austin Groovy 2/2 Condo,4437388,Stacey,,78701,30.26609,-97.74073,Entire home/apt,230,3,100,5/19/2019,1.53,8,70,14,86,5.142857143
720,2048537,BEAUTIFUL DOWNTOWN AUSTIN RETREAT,10500741,Molly,,78703,30.27572,-97.75867,Entire home/apt,485,2,58,7/7/2019,0.88,1,278,11,47,3.272727273
721,2056845,Bouldin Creek Bungalow - Executive Rental!,1518835,Russ,,78704,30.24993,-97.75779,Entire home/apt,320,7,7,3/13/2017,0.11,1,283,1,6,5
